FILENAME :,SUB_IMAGE 1,SUB_IMAGE 2,SUB_IMAGE 3,SUB_IMAGE 4,SUB_IMAGE 5,SUB_IMAGE 6,SUB_IMAGE 7,SUB_IMAGE 8,SUB_IMAGE 9,SUB_IMAGE 10,SUB_IMAGE 11,SUB_IMAGE 12,SUB_IMAGE 13,SUB_IMAGE 14,SUB_IMAGE 15,SUB_IMAGE 16,SUB_IMAGE 17,SUB_IMAGE 18,SUB_IMAGE 19,SUB_IMAGE 20,SUB_IMAGE 21,SUB_IMAGE 22,SUB_IMAGE 23,SUB_IMAGE 24,SUB_IMAGE 25,SUB_IMAGE 26,SUB_IMAGE 27,SUB_IMAGE 28,SUB_IMAGE 29,SUB_IMAGE 30,SUB_IMAGE 31,SUB_IMAGE 32,SUB_IMAGE 33,SUB_IMAGE 34,SUB_IMAGE 35,SUB_IMAGE 36,SUB_IMAGE 37,SUB_IMAGE 38,SUB_IMAGE 39,SUB_IMAGE 40,SUB_IMAGE 41,SUB_IMAGE 42,SUB_IMAGE 43,SUB_IMAGE 44,SUB_IMAGE 45,SUB_IMAGE 46,SUB_IMAGE 47,SUB_IMAGE 48,SUB_IMAGE 49,SUB_IMAGE 50,SUB_IMAGE 51,SUB_IMAGE 52,SUB_IMAGE 53,SUB_IMAGE 54,SUB_IMAGE 55,SUB_IMAGE 56,SUB_IMAGE 57,SUB_IMAGE 58,SUB_IMAGE 59,SUB_IMAGE 60,SUB_IMAGE 61,SUB_IMAGE 62,SUB_IMAGE 63,SUB_IMAGE 64,SUB_IMAGE 65,SUB_IMAGE 66,SUB_IMAGE 67,SUB_IMAGE 68,SUB_IMAGE 69,SUB_IMAGE 70,SUB_IMAGE 71,SUB_IMAGE 72,SUB_IMAGE 73,SUB_IMAGE 74,SUB_IMAGE 75,SUB_IMAGE 76,SUB_IMAGE 77,SUB_IMAGE 78,SUB_IMAGE 79,SUB_IMAGE 80,SUB_IMAGE 81,SUB_IMAGE 82,SUB_IMAGE 83,SUB_IMAGE 84,SUB_IMAGE 85,SUB_IMAGE 86,SUB_IMAGE 87,SUB_IMAGE 88,SUB_IMAGE 89,SUB_IMAGE 90,SUB_IMAGE 91,SUB_IMAGE 92,SUB_IMAGE 93,SUB_IMAGE 94,SUB_IMAGE 95,SUB_IMAGE 96,SUB_IMAGE 97,SUB_IMAGE 98,SUB_IMAGE 99,SUB_IMAGE 100,SUB_IMAGE 101,SUB_IMAGE 102,SUB_IMAGE 103,SUB_IMAGE 104,SUB_IMAGE 105,SUB_IMAGE 106,SUB_IMAGE 107,SUB_IMAGE 108
IMAGE 1,0.0,0.0,0.07631372549019606,0.358389803921569,0.030580343137254995,0.0,0.44917975490195766,0.4533946078431327,0.44409137254901865,0.48134313725490174,0.4907535294117625,0.06793431372549055,0.2980392156862743,0.0019816176470588164,0.4586708333333339,0.02619411764705892,0.1272054901960776,0.0,0.0,0.0,0.43206848039215673,0.4415333333333337,0.1346700980392148,0.01569470588235292,0.31330588235294204,0.28772872549019607,0.327221568627453,0.012227254901960723,0.2293706862745082,0.3097737254901956,0.0,0.0,0.4238002450980411,0.33327593137254896,0.483893235294119,0.3057768137254908,0.4468872549019599,0.48904725490196094,0.0018016666666666526,0.43990156862745133,0.000558676470588243,0.24630598039215523,0.0,0.0,0.0,0.0313384313725486,0.1446641176470593,0.017019901960784387,0.49241431372548944,0.4917398039215687,0.48130573529411813,0.48675750000000023,0.10606862745098028,0.0,0.0,0.0,0.0,0.0,0.38516573529411785,0.0,0.4889952941176475,0.48614700980392167,0.22556333333333117,0.1117021568627444,0.30582642156863016,0.06852901960784288,0.13632470588235357,0.025866862745097773,0.013563921568627459,0.2845441176470584,0.4636164215686272,0.0014831862745098088,0.4674917647058819,0.0175556862745099,0.0,0.0,0.0007513235294117934,0.20616862745098052,0.0,0.0,0.0,0.3613353921568623,0.4161633823529409,0.0,0.4894627450980388,0.0,0.0,0.0,0.014432499999999985,0.24241254901960868,0.0,0.0,0.0,0.035227450980392934,0.3967709803921556,0.0024345098039215553,0.24641749999999923,0.04507058823529409,0.0,0.0,0.10654019607843056,0.38719372549019737,0.0,0.0,0.0,0.0,0.05403205882352987,0.08447926470588221
IMAGE 2,0.4843609803921573,0.482309068627451,0.24032240196078455,0.25504862745098,0.36051294117646976,0.4689940196078431,0.0849705882352944,0.26407450980392194,0.317496911764706,0.477133529411763,0.02088088235294117,0.38516284313725563,0.10125867647058842,0.08552828431372479,0.37016377450980215,0.10547230392156914,0.0950208823529422,0.46187843137255025,0.30445926470588286,0.48944779411764655,0.004425588235294105,0.0018495098039215617,0.4890264705882367,0.46086284313725445,0.16891225490196057,0.006122058823529433,0.483840686274511,0.0,0.0,0.0,0.47374995098039113,0.3949872549019588,0.0,0.048373333333333275,0.17581960784313755,0.29373397058823447,0.43991607843137404,0.4053651960784334,0.0682205882352947,0.0,0.0,0.021817058823529346,0.4263969607843141,0.057813725490195464,0.0,0.23265833333333233,0.3727590196078427,0.4770874509803927,0.05822705882352956,0.1523024509803919,0.0020972549019608044,0.29644362745098013,0.0,0.15377568627451,0.4602423529411763,0.001981617647058779,0.03563446078431317,0.1155076470588238,0.04147794117647042,0.48251529411764726,0.2306632352941185,0.003562058823529424,0.0,0.23071151960784345,0.18939593137254956,0.41747843137254975,0.49416549019607836,0.0,0.0,0.0,0.0,0.456121715686274,0.013504705882352868,0.04905911764705838,0.0,0.35649975490196006,0.4386098039215686,0.4938043137254899,0.45812980392156843,0.0,0.02052578431372583,0.45182980392156835,0.0,0.49500039215686237,0.36722490196078467,0.0012907352941176281,0.0,0.050025980392157,0.23881362745097956,0.47133867647058914,0.31986892156862873,0.0,0.0,0.19174882352941064,0.0,0.49365294117647096,0.21469362745097803,0.004418529411764743,0.11967990196078486,0.020307450980392154,0.07291073529411754,0.4713934313725492,0.018634460784313668,0.0,0.0,0.0,0.0017272549019607649,0.46728161764706044
IMAGE 3,0.06395946078431373,0.23843843137254964,0.4547684313725491,0.3967819607843156,0.0,0.0,0.0,0.0,0.3879206862745129,0.42036480392156844,0.4844007843137262,0.0031149019607843937,0.42124019607842983,0.006123529411764652,0.047035392156862574,0.4733817647058842,0.030445980392156857,0.009072156862744964,0.0,0.0,0.016326225490196123,0.49362882352941184,0.2534746568627447,0.25566519607843163,0.10312210784313683,0.28988745098039265,0.40932431372549144,0.0019650000000000006,0.43871789215686285,0.06694583333333345,0.0,0.0942576960784306,0.4323499019607842,0.49042730392156886,0.13240931372548803,0.4915682352941191,0.007434019607843123,0.45400078431372565,0.006107500000000103,0.4227167647058825,0.0016675000000000205,0.48921490196078443,0.0,0.0,0.2422325490196064,0.4905389215686274,0.0,0.0,0.48346156862744927,0.4710907843137258,0.06818774509803928,0.3718887254901952,0.0029399019607843162,0.34201715686274403,0.002277647058823517,0.0,0.4881907843137258,0.378852647058823,0.0016525490196078422,0.49125666666666873,0.49124387254901936,0.4807825490196083,0.34019269607843033,0.09350857843137288,0.14848946078431324,0.002939901960784308,0.45474730392156915,0.0,0.48161887254901986,0.023234117647058822,0.006105147058823547,0.1403189215686284,0.3668981372548996,0.09839259803921588,0.2631443137254902,0.0008647058823529824,0.3896304411764694,0.013573333333333333,0.3489829411764704,0.03524352941176459,0.18495411764705627,0.0,0.00525573529411762,0.34947098039215574,0.44571676470588323,0.11058107843137303,0.3100924019607847,0.005361911764705889,0.0034466666666666396,0.3196080392156874,0.12366058823529347,0.4849154901960796,0.026857254901960732,0.35094617647058807,0.10644078431372592,0.10672254901960669,0.06778656862745092,0.001594901960784312,0.25217960784313864,0.32619490196078305,0.01620705882352976,0.48735921568627316,0.0,0.011473774509803934,0.4285646078431409,0.49045774509803947,0.0027365196078431523,0.366243431372548
IMAGE 4,0.0,0.16892549019607878,0.3833385294117659,0.4600105882352948,0.46815480392156855,0.4914870588235297,0.07271823529411799,0.459074362745101,0.4353220098039202,0.4692956372549032,0.40189387254901876,0.0006952941176470587,0.035394215686274516,0.2683387254901957,0.1518219607843132,0.466517745098039,0.2869548529411759,0.4892719117647063,0.0,0.009072156862745064,0.45029460784313785,0.33484156862745107,0.08122882352941196,0.3561872549019596,0.48777196078431273,0.29187259803921384,0.15192656862745102,0.2501009803921579,0.282342401960784,0.24617950980392092,0.4783887254901961,0.08595460784313697,0.2612298039215685,0.32766078431372464,0.0018495098039215617,0.48595235294117795,0.4234727450980397,0.002189215686274437,0.4745031372549037,0.012385098039215715,0.38516450980392036,0.18358568627450877,0.484255931372548,0.0,0.44630941176470534,0.484304705882353,0.4836635294117643,0.42984784313725544,0.45050098039215425,0.0026195588235293356,0.0023092647058823453,0.4881848039215694,0.007213578431372591,0.4885257352941188,0.39333240196078395,0.0,0.4839604411764701,0.0016675000000000036,0.49282333333333317,0.4375358823529406,0.07181004901960866,0.07220441176470567,0.0,0.48696083333333356,0.3866968627450963,0.14447700980392136,0.3795272058823525,0.0,0.07613573529411695,0.37676495098039225,0.4880773529411768,0.1447872549019605,0.0046901960784313315,0.2929004901960791,0.0,0.1523258823529419,0.0,0.49239602941176536,0.49397549019607895,0.0,0.0,0.3861878431372542,0.46809352941176513,0.47627426470588097,0.0,0.4814926470588217,0.0,0.1771040196078431,0.053740196078431265,0.42985602941176404,0.27730156862745237,0.0037100000000000024,0.1442445098039215,0.37931647058823403,0.4064691176470578,0.05029911764705913,0.003113970588235289,0.2571187254901952,0.0,0.09434705882352952,0.02977176470588244,0.24702014705882241,0.07177769607843162,0.26356799019607896,0.0,0.16064794117647144,0.005326519607843128,0.2981703431372528
IMAGE 5,0.08485171568627463,0.14460411764705866,0.0,0.0,0.016152352941176437,0.4747823529411744,0.030183333333333895,0.0,0.24089568627450647,0.4923999999999967,0.0018495098039215643,0.0,0.4809705392156889,0.45659852941176365,0.0,0.14504318627450968,0.47967205882352665,0.002470931372549032,0.0,0.0,0.0,0.0063811764705881515,0.24615014705882377,0.0,0.48435303921568923,0.08043676470588165,0.49046833333333045,0.18509303921568576,0.17268235294117754,0.0008647058823529827,0.0,0.0,0.0,0.0,0.42685024509803865,0.0,0.0,0.0,0.22915171568627626,0.0,0.35649019607843135,0.0028274999999999763,0.0,0.0,0.0,0.0,0.46578906862745095,0.0,0.0,0.1922135294117645,0.013256372549019357,0.0,0.054210784313724926,0.0011721568627450663,0.0,0.0,0.0,0.0,0.46253431372549003,0.0008647058823529387,0.0019200000000000003,0.47239607843137404,0.0,0.0,0.0010595588235293675,0.005999166666666631,0.0,0.0,0.0,0.0,0.14828534313725678,0.07612784313725483,0.4527429901960787,0.002755392156862732,0.0,0.0,0.0,0.49479588235294136,0.3210082352941183,0.005397303921568583,0.0,0.0,0.004371078431372427,0.3119474019607831,0.4876705392156861,0.0,0.0,0.0,0.0038527941176470294,0.359181176470589,0.2276439215686281,0.0052674999999999675,0.0,0.0,0.0,0.4952013235294113,0.4953629411764707,0.0,0.18848642156862636,0.0,0.0036221568627450846,0.4508550980392127,0.48108392156862917,0.0025466666666666303,0.0,0.0,0.0,0.49342965686274504
IMAGE 6,0.4933097058823535,0.27367970588234947,0.4699058823529394,0.1988140196078431,0.45925651960784114,0.05376769607843217,0.0,0.0021215196078431097,0.0,0.34946127450980286,0.468420588235294,0.12931666666666636,0.4664654901960786,0.01851475490196069,0.4844534313725497,0.480103823529412,0.0,0.47633088235294196,0.09367289215686295,0.2534317156862732,0.0,0.002183529411764633,0.0032294117647058396,0.317809068627451,0.062431372549019794,0.4020821078431366,0.09343073529411744,0.11099240196078375,0.0,0.33060421568627446,0.2061790686274515,0.19859627450980313,0.019448382352941315,0.0,0.45266137254901906,0.06775308823529472,0.4087118137254906,0.001667500000000021,0.49076892156862406,0.0009607843137254887,0.0,0.0015247058823528487,0.48399284313725516,0.3249674509803896,0.27902843137255057,0.48394058823528935,0.2209201960784316,0.22137117647058813,0.4927088235294119,0.20060627450980384,0.03564093137254946,0.05891666666666701,0.0,0.0,0.19948975490196053,0.005291127450980399,0.3695849999999995,0.34940661764705827,0.4895036764705911,0.09770666666666628,0.19590269607843155,0.43551848039215735,0.0,0.023345490196078508,0.0,0.0,0.18948843137254812,0.005947058823529421,0.4216070588235297,0.09442593137255033,0.0015676470588235941,0.40171323529411673,0.0,0.37328034313725444,0.14090529411764754,0.3075665686274519,0.1992223529411766,0.0,0.4581545098039221,0.001618823529411756,0.39208705882352957,0.10725901960784281,0.0,0.45348313725490236,0.0,0.3854642156862742,0.20001235294117742,0.07694068627451033,0.4371729411764702,0.04902058823529428,0.44399117647058867,0.0,0.4715545588235293,0.0,0.002434558823529416,0.4114502450980407,0.0028217647058823357,0.47298441176470524,0.4744624509803926,0.47816166666666815,0.34250539215686193,0.0,0.4873235294117652,0.034363235294117535,0.4850696078431372,0.04085882352941196,0.0025466666666666303,0.4400852941176467
IMAGE 7,0.39640254901960664,0.0,0.025640441176470262,0.4333654901960787,0.49029196078431314,0.3540463235294105,0.0018495098039215617,0.0,0.17271166666666654,0.4422098039215699,0.46813210784313614,0.007277156862745129,0.49237568627450956,0.0,0.001972941176470593,0.43789485294117847,0.0017294117647058582,0.47669882352941173,0.30353882352941175,0.0,0.0,0.0,0.003622156862745085,0.3820566176470585,0.49427009803921557,0.0,0.44142499999999985,0.21784647058823445,0.0,0.23682470588235469,0.258315294117646,0.0029014215686275096,0.0,0.0,0.0,0.4900319607843136,0.3312531862745117,0.08978323529411755,0.4838956862745098,0.37618784313725423,0.0,0.27541823529411785,0.025535049019607948,0.40355686274509817,0.0,0.0,0.0016272549019607525,0.4116174509803925,0.030451960784313795,0.48839901960784493,0.22584352941176625,0.41418627450980433,0.0028274999999999616,0.3579858823529416,0.48603725490196453,0.21578921568627485,0.47524465686274975,0.31706627450980457,0.2493232352941174,0.29043019607842946,0.09272137254901992,0.15305318627451014,0.3865841176470603,0.30037622549019394,0.24701774509803928,0.4042670588235282,0.0018495098039215617,0.08076348039215553,0.47751372549019244,0.43102666666666595,0.4900580392156864,0.3274852941176472,0.0,0.38426289215686377,0.3810831372549035,0.22628357843137287,0.37925735294117624,0.4819882352941194,0.4946176470588257,0.0014529411764705356,0.0,0.0,0.0,0.45329098039215715,0.0,0.025473529411764565,0.017466568627450753,0.3860662745098031,0.0,0.029851225490196517,0.4424847058823528,0.44777544117647017,0.0,0.0,0.0,0.39503294117647025,0.0,0.0,0.0,0.47917534313725496,0.0,0.0,0.0446352941176471,0.36567955882352865,0.09384034313725464,0.0,0.0,0.43872676470588273
IMAGE 8,0.0,0.27958377450980115,0.05013210784313726,0.24206955882352932,0.33131362745098036,0.005152941176470563,0.30355843137255073,0.08009764705882348,0.47404250000000425,0.0181399509803921,0.4324350490196112,0.48970911764705893,0.0,0.0,0.2646047058823523,0.49303431372549056,0.49011480392156814,0.20307088235294007,0.000558676470588243,0.4401618627450988,0.49091279411764843,0.48426274509803835,0.0016525490196078344,0.485682254901961,0.15320220588235287,0.0,0.407347058823528,0.48933299019607707,0.45562083333333525,0.4596149999999997,0.08455392156862736,0.3073352941176488,0.38566588235294175,0.002514705882352959,0.41633588235294156,0.0,0.41859499999999916,0.0,0.35944558823529654,0.3916397058823529,0.007357843137254927,0.4859850980392161,0.4892782352941175,0.27030480392156614,0.4822278431372552,0.3981223039215685,0.1371282352941156,0.05799676470588252,0.40430024509803836,0.0,0.3212478431372542,0.4026903921568632,0.0,0.48413647058823345,0.4914658823529421,0.0,0.16491480392156935,0.27857960784313596,0.058983529411764685,0.4463802941176468,0.49349186274509826,0.0,0.41334862745098033,0.4844252941176471,0.0,0.42292862745097964,0.45941666666666725,0.0,0.0008647058823529824,0.4646385294117654,0.3553343137254891,0.48534176470588364,0.13584813725490302,0.1328960784313723,0.456649509803923,0.4194884313725491,0.0,0.4909774509803924,0.4802914215686276,0.0,0.0,0.28957078431372407,0.4886813725490197,0.3780819117647058,0.04945607843137262,0.493808088235293,0.32530352941176455,0.3617403921568615,0.0,0.437969803921567,0.49219725490196126,0.0,0.0,0.3091375490196086,0.4836026470588238,0.3939016666666656,0.4921870098039218,0.0,0.0,0.3933411764705892,0.0,0.4398696078431367,0.4469122549019614,0.0,0.0,0.47478254901960854,0.4918761274509799,0.491096078431373
IMAGE 9,0.34305245098039217,0.4028438725490233,0.4392808823529419,0.25650990196078394,0.4358220588235304,0.01212872549019588,0.0,0.47906245098039135,0.40252803921568736,0.48790784313725477,0.0,0.001524705882352946,0.21860769607843322,0.0,0.211297843137257,0.4402161764705881,0.0,0.0,0.0,0.48718509803921634,0.39692862745097734,0.29456495098039326,0.14898372549019553,0.40140759803921666,0.0,0.1361627450980395,0.017888186274510078,0.48759705882353016,0.000558676470588243,0.2946547058823532,0.031606274509804,0.08978196078431372,0.0,0.012892647058823665,0.46300490196078686,0.43116598039215737,0.0,0.3645408823529423,0.00964166666666667,0.4535447058823522,0.07208313725490195,0.34282058823529454,0.2618996078431366,0.0941384803921562,0.0,0.0,0.00956235294117658,0.2325262254901944,0.0,0.19164156862745257,0.21415931372549082,0.37294911764706135,0.0,0.43868078431372676,0.007697843137254892,0.2100678921568622,0.0,0.0,0.21645186274509773,0.007163823529411814,0.017467058823529346,0.0,0.48126838235294156,0.00751882352941192,0.0,0.09811397058823522,0.4183162745098031,0.4802109803921564,0.03244333333333342,0.0,0.002930588235294209,0.44076225490196125,0.15707602941176527,0.0,0.0668010294117646,0.0,0.0,0.0,0.2534559803921553,0.3881868627450988,0.0018495098039215617,0.0019525490196078488,0.0021590686274509563,0.4620935294117642,0.15394549019607737,0.0,0.0,0.0,0.0,0.0,0.09079289215686298,0.010133578431372494,0.06333990196078446,0.031985882352941176,0.10266519607843176,0.4953108823529414,0.2987254901960783,0.0,0.0,0.0,0.0,0.0,0.07172504901960855,0.4271835784313731,0.24461637254901947,0.0,0.0,0.49115666666666646
IMAGE 10,0.4888988235294104,0.0,0.0,0.10735749999999987,0.4465465196078423,0.08095686274509871,0.0,0.0,0.29478519607843173,0.05373269607843119,0.3406671568627447,0.0498437254901955,0.38979764705882297,0.0,0.0,0.4701997058823521,0.002277647058823518,0.0,0.0,0.0,0.0008091176470588052,0.33163725490196155,0.43224318627450947,0.0,0.4889274509803917,0.0,0.4817797058823551,0.2529627450980425,0.0,0.06783382352941199,0.0,0.0,0.003235294117647007,0.2780315686274522,0.4371805882352915,0.0031971078431372313,0.27437014705882273,0.0,0.26794681372549045,0.0,0.006963137254901883,0.47422039215686257,0.25747137254902064,0.0,0.24084249999999977,0.002731029411764712,0.4026447058823527,0.29440705882352886,0.33648235294117623,0.0018495098039215643,0.28642970588235434,0.4118690196078444,0.46814789215686303,0.48837166666666676,0.09050049019607823,0.3927530392156853,0.3708046568627433,0.0028571568627450946,0.4439830392156871,0.05453715686274551,0.07639034313725483,0.4226501960784318,0.0641929411764706,0.45852450980391846,0.2568869607843165,0.4347011274509812,0.34691637254901864,0.3398088235294086,0.08513137254901984,0.0,0.35060764705882314,0.0010925000000000665,0.31208710784313665,0.2180920098039216,0.40561416666666644,0.0,0.19133294117647112,0.06846431372549083,0.0,0.0,0.40546848039215744,0.0,0.24713470588235242,0.0,0.4452770098039222,0.49084372549019656,0.49516892156862774,0.0,0.4430427450980383,0.2533788235294115,0.0,0.0,0.49105921568627464,0.0,0.485908235294118,0.4124509803921574,0.49458799019607874,0.4781901470588236,0.4929470588235301,0.0,0.3997380392156873,0.4896920098039215,0.0,0.0,0.2115112745098054,0.4306385784313722,0.012520392156862716,0.2638737254901974
