x0;x1;x2;x3;x4;x5;x6;x7;x8;x9;x10;x11;x12;x13;x14;x15;x16;x17;x18;x19;x20;x21;x22;x23;x24;x25;x26;x27;x28;x29;x30;x31;x32;x33;x34;x35;x36;x37;x38;x39;x40;x41;x42;x43;x44;x45;x46;x47;x48;x49;x50;x51;x52;x53;x54;x55;x56;x57;x58;x59;x60;x61;x62;x63;x64;x65;x66;x67;x68;x69;x70;x71;x72;x73;x74;x75;x76;x77;x78;x79;x80;x81;x82;x83;x84;x85;x86;x87;x88;x89;x90;x91;x92;x93;x94;x95;x96;x97;x98;x99;x100;x101;x102;x103;x104;x105;x106;x107;sinif
0,74;0,21;0,2825;0,485;0,21;0,1875;0,395;0,585;0,545;0;0,215;0,7;0,41;0,5875;0,8775;1;1;1;0,0375;0,445;0,255;0,425;0,475;0,545;0,9625;0,95;1;0,0725;0,99;1;1;1;0,82;0,5975;0,765;0,9475;0;0,81;1;1;1;1;1;1;1;0,3075;0,1375;0,75;1;1;1;1;1;1;0,895;0,47;0,05;0,15;0,4825;0,9225;1;0,9425;0,7975;0,995;1;0,995;0,6425;0,1125;0,0075;0,6375;0,5625;0,445;0,5975;1;1;1;0,885;0,125;0,5375;0,8175;0,96;0,1525;0,77;0,685;0,805;0,5925;0,04;0,15;0,0475;0,22;0;0;0;0,01;0,045;0,985;1;0,95;1;0,225;0,5925;0,5475;0,2725;0;0,4325;0,905;1;1;a
0,8375;0,4875;0,3125;0,52;0,145;0,155;0,37;0,595;0,77;0;0;0,58;0,54;0,325;0,98;1;1;1;0;0,2475;0,56;0,48;0,565;0,43;0,925;0,93;1;0;0,6575;1;1;1;0,945;0,9075;0,885;0,9975;0,0225;0,555;1;1;1;1;1;1;1;0,96;0,695;0,57;0,895;1;1;1;1;1;1;0,95;0,4;0,1275;0,1575;0,6825;0,9075;0,895;0,5225;0,9525;1;1;0,99;0,495;0,04;0,5725;0,865;0,845;0,3625;0,9975;1;1;1;0,4975;0,32;0,67;0,8175;0;0,5175;0,59;0,49;0,5375;0,3325;0,45;0,365;0,415;0;0;0;0;0,0425;0,8875;1;1;1;0;0,4975;0,88;0,6225;0,0875;0,16;0,8025;1;1;a
0,8125;0,69;0,1;0,475;0,75;0,48;0,225;0,415;0,5725;0;0;0,6725;0,85;0,4325;0,8825;1;1;1;0;0,28;0,5175;0,42;0,475;0,455;0,8175;0,915;1;0;0,6375;1;1;1;0,97;0,6625;0,555;0,9025;0,02;0,525;1;1;1;1;1;1;1;0,945;0,48;0,36;0,875;1;1;1;1;1;1;0,86;0,4;0,0675;0,255;0,725;0,98;1;0,8775;0,975;1;1;0,92;0,325;0,0025;0,125;0,635;0,535;0,455;1;1;1;1;0,5775;0,175;0,7;0,96;0,04;0,5825;0,7725;0,5875;0,6875;0,2575;0,1475;0,0925;0,115;0;0;0;0;0;0,6375;1;1;0,9875;0,155;0,78;0,87;0,5725;0,075;0,1625;0,8425;1;1;a
0,8075;0,3125;0,3175;0,6325;0,2075;0,3125;0,385;0,61;0,7675;0;0,06;0,6675;0,4175;0,27;0,7075;1;1;1;0;0,415;0,41;0,48;0,38;0,16;0,77;0,8225;0,9125;0;0,79;1;1;1;0,93;0,765;0,7425;0,7325;0;0,69;1;1;1;1;1;1;1;0,6775;0,18;0,6275;0,975;1;1;1;1;1;1;0,7275;0,21;0,0525;0,275;0,805;1;0,9525;0,8175;0,975;1;1;0,8025;0,12;0;0,6125;0,5775;0,4825;0,47;1;1;1;0,9325;0,2;0,455;0,7675;0,945;0,07;0,685;0,65;0,6375;0,495;0,045;0,1525;0,0425;0,135;0;0;0;0;0;0,885;1;0,9725;1;0,145;0,675;0,7575;0,4225;0;0,2525;0,825;1;1;a
0,7;0,215;0,4525;0,6925;0,1;0,155;0,4425;0,675;0,685;0;0,1225;0,65;0,3375;0,4875;0,7975;1;1;1;0;0,5125;0,48;0,53;0,4075;0,2475;0,7675;0,8275;0,8775;0;0,8425;1;1;1;0,9075;0,71;0,7975;0,7225;0;0,7075;1;1;1;1;1;1;1;0,485;0,09;0,625;0,9775;1;1;1;1;1;0,98;0,59;0,1975;0,025;0,29;0,86;1;0,9225;0,77;0,965;1;1;0,7825;0,12;0;0,705;0,525;0,46;0,5275;1;1;1;0,8925;0,1025;0,5225;0,8;0,93;0,1525;0,77;0,645;0,775;0,57;0,0675;0,025;0,0075;0,145;0;0;0;0,0175;0,1575;0,9975;0,9875;0,8425;1;0,3325;0,785;0,745;0,33;0;0,3825;0,9;1;1;a
0,7175;0,2025;0,405;0,63;0,12;0,185;0,415;0,7;0,695;0;0,165;0,7;0,32;0,5275;0,8825;1;1;1;0,005;0,315;0,2825;0,3775;0,355;0,325;0,805;0,855;0,8675;0;0,8375;1;1;1;0,81;0,605;0,6925;0,6225;0;0,75;1;1;1;1;1;1;1;0,345;0,1325;0,75;1;1;1;1;1;1;0,9025;0,5225;0,0775;0,135;0,455;0,9475;1;0,925;0,8525;0,99;1;0,9925;0,58;0,035;0,0325;0,5925;0,3375;0,325;0,61;1;1;1;0,81;0,06;0,6125;0,8725;1;0,245;0,7675;0,6675;0,82;0,535;0,005;0;0,0025;0,075;0;0;0;0,0075;0,1025;0,9375;0,925;0,67;0,94;0,1725;0,565;0,65;0,255;0;0,4375;0,9025;1;1;a
0,86;0,3125;0,235;0,4975;0,2975;0,23;0,36;0,5975;0,5875;0;0,1275;0,765;0,6175;0,71;0,8875;1;1;1;0,005;0,3075;0,2175;0,5375;0,6975;0,775;1;1;1;0,0275;0,935;0,9925;1;0,995;0,725;0,79;0,8475;1;0;0,7925;1;1;1;1;1;1;1;0,4475;0,2175;0,83;1;1;1;1;1;1;0,9625;0,6775;0,0675;0,28;0,585;0,9475;1;0,9975;0,9325;0,99;1;0,98;0,6175;0,0925;0,0425;0,8025;0,8025;0,5575;0,5425;1;1;1;0,885;0,1575;0,63;0,9;1;0,1325;0,735;0,745;0,83;0,6625;0,055;0,085;0,03;0,2475;0;0;0;0,025;0,005;0,865;1;0,8825;1;0,1775;0,5825;0,585;0,2875;0;0,285;0,82;1;0,9325;a
0,8775;0,5625;0,2;0,5225;0,4475;0,5575;0,295;0,44;0,545;0,0025;0;0,57;0,6975;0,3425;0,8775;1;1;1;0;0,2625;0,3075;0,475;0,5725;0,3975;0,795;0,955;1;0;0,65;0,99;1;1;0,9825;0,7825;0,5925;0,9825;0,0025;0,455;1;1;1;1;1;1;1;0,9175;0,3925;0,4225;0,89;1;1;1;1;1;1;0,9025;0,4225;0,0575;0,1575;0,6925;0,9425;1;0,885;0,9875;1;1;0,9425;0,4725;0,01;0,0475;0,47;0,465;0,4675;1;1;1;1;0,6575;0,0725;0,73;0,9775;0,0475;0,5875;0,795;0,5675;0,67;0,2775;0,21;0,1325;0,1525;0;0;0;0;0;0,535;1;1;0,9825;0,1725;0,565;0,715;0,46;0,0625;0,1175;0,8275;1;1;a
0,385;0,1025;0,59;0,52;0,095;0,305;0,595;0,81;0,7425;0;0,065;0,505;0,175;0,81;0,97;1;1;1;0,1625;0,56;0,55;0,4675;0,245;0,45;0,8475;0,97;1;0,1;0,85;1;1;0,995;0,82;0,66;0,9225;1;0;0,6625;1;1;1;1;1;1;1;0,375;0,17;0,6375;0,935;1;1;1;1;1;0,9375;0,66;0,2225;0,0525;0,4825;0,84;0,9975;0,8325;0,7575;0,9325;1;1;0,6575;0,0325;0,015;0,7575;0,56;0,5;0,54;1;1;1;0,69;0,01;0,6175;0,845;0,89;0,15;0,6;0,4425;0,6775;0,2675;0,115;0,0625;0,045;0,1775;0;0;0;0;0,4425;1;0,9975;0,9125;1;0,1975;0,8325;0,5425;0,1625;0,035;0,5675;0,9775;1;1;a
0,485;0,945;0,905;0,34;0,03;0,1375;0,005;0,245;0,125;0,465;0,045;0;0,2875;0,915;1;0,975;1;1;0,1425;0,2525;0,5625;0,965;1;1;1;1;0,935;0,845;0,945;1;1;0,815;0,8625;0,7625;0,975;0,9925;0,2475;0,95;1;1;1;0,8925;0,66;0,8575;0,9625;0,3975;0,6275;1;0,99;0,915;0,6925;0,4975;0,3925;0,395;0,955;0,1925;0,5975;0,3175;0,38;0,52;0,635;0,7975;0,9925;0,84;0,5125;0,725;0,97;1;1;1;1;1;0,2025;1;1;1;0,9825;1;0,9925;1;1;0,415;1;0,975;0,8625;0,9375;1;0,635;0,89;1;0,01;0,545;0,9;0,745;0,98;1;1;1;1;0,735;0,38;0,1825;0,59;0,565;0,6325;0,515;0,525;0,3875;b
